IRUC;DEPARTAMENTO;PROVINCIA;DISTRITO;Sexo;Cargo Informante;Cargo Informante otro;DESC_CIIU;Año funcionamiento;Empresa actualmente;Nivel ventas;Porcentaje;Capacidad operativa 2do trimestre;Modalidad ventas segundo trimentre;Disminución de la demanda de sus productos o servicios;Paralización de la producción a causa de la pandemia;Dificultad en la exportación de sus productos;Desabastecimiento de materias primas e insumos del mercado nacional;Desabastecimiento de materias primas e insumos del extranjero;Disminución de la inversión en maquinaria y equipos;Retraso en el pago de facturas;Retraso en el cobro de facturas;Enfermedad de trabajadores por el COVID-19;Pérdida de capital de trabajo;Altos costos para implementar planes de seguridad;¿Otro?;¿Otro? (Especifique);NO TUVO PROBLEMAS;¿Qué porcentaje de trabajadores laboró en la empresa en el segundo trimestre 2020 (Abril-Mayo-Junio); ¿Cuáles son las modalidades que ha adoptado la empresa para las labores de sus trabajadores?;TAMANO_EMPRESA
121255;LIMA;LIMA;SAN ISIDRO;1;Otro;JEFE DE CONTABILIDAD;Transporte de carga por carretera;2010;Parcialmente operativa;Aumentó;15;De 41 a 60%;Solo de forma presencial;0;0;0;1;0;0;1;1;1;0;0;0;;0;De 61 a 80%;Trabajo mixto;Micro empresa
121299;LIMA;LIMA;MIRAFLORES;1;Otro;AUDITORA;Construcción de edificios;2013;Inoperativa;;;;;;;;;;;;;;;;;;;;;Micro empresa
121408;LIMA;LIMA;LINCE;1;Contador/a;;Venta al por mayor de otros enseres domésticos;2009;Parcialmente operativa;Disminuyó;40;De 61 a 80%;Solo a traves de delivery;1;0;0;1;0;0;1;1;1;0;1;0;;0;De 41 a 60%;Trabajo mixto;Mediana empresa
121788;LIMA;LIMA;SAN ISIDRO;1;Administrador/a;;Consultoría de informática y de gestión de instalaciones informáticas;2014;Operativa;Disminuyó;87;De 81 a 100%;Por otra modalidad;1;0;0;0;0;0;0;1;0;0;1;0;;0;De 81 a 100%;Solo trabajo remoto;Mediana empresa
121977;LIMA;LIMA;LIMA;2;Contador/a;;Construcción de otras obras de ingeniería civil;2014;Parcialmente operativa;Disminuyó;80;Hasta 20%;Por otra modalidad;0;1;0;0;0;0;1;1;0;0;1;0;;0;De 21 a 40%;Solo trabajo remoto;Micro empresa
121988;LIMA;LIMA;SAN ISIDRO;2;Contador/a;;Otras actividades especializadas de construcción;2015;Parcialmente operativa;Disminuyó;20;De 41 a 60%;Solo de forma presencial;0;0;0;0;0;0;0;0;0;0;1;1;PARALIZACION DEL SERVICIO DE TRANSPORTE;0;De 81 a 100%;Trabajo mixto;Micro empresa
122037;LIMA;LIMA;SAN ISIDRO;2;Otro;EMPLEADO;Transporte de pasajeros marítimo y de cabotaje;2015;Parcialmente operativa;Disminuyó;64;Hasta 20%;Presencial y delivery;1;1;1;0;0;0;0;0;0;0;0;0;;0;Hasta 20%;Trabajo mixto;Pequeña empresa
122043;LIMA;LIMA;SAN ISIDRO;1;Contador/a;;Generación, transmisión y distribución de energía eléctrica;2000;Operativa;Disminuyó;8;De 81 a 100%;Por otra modalidad;1;0;0;0;0;1;0;1;0;0;0;0;;0;De 81 a 100%;Trabajo mixto;Micro empresa
122218;LIMA;LIMA;SAN ISIDRO;2;Contador/a;;Otras actividades especializadas de construcción;2014;Inoperativa;;;;;;;;;;;;;;;;;;;;;Mediana empresa
122346;LIMA;LIMA;SAN ISIDRO;1;Contador/a;;Construcción de carreteras y vías de ferrocarril;2014;Operativa;Disminuyó;26;De 41 a 60%;Por otra modalidad;0;1;0;1;0;0;0;1;0;0;0;0;;0;De 41 a 60%;Trabajo mixto;Micro empresa
